cameraid,name,url,latitude,longitude,last_width,last_height,mhash
173,,http://images.wsdot.wa.gov/rweather/diamond_medium.jpg,0,0,320,261,1577c9b21d04ad351c2cd860e663e33f
174,Heckelsville Shed on US 101 @ MP 214,http://images.wsdot.wa.gov/rweather/HeckShed_medium.jpg,48.069478,-124.037755,320,261,2b049fc8af30f0a2a49ec1b2ad9bbff4
175,Uniontown6,http://images.wsdot.wa.gov/rweather/Medium_Uniontown6.jpg,46.547,-117.095,320,239,2e1311519ccc11ebc10f04c447a69bba
176,Uniontown3,http://images.wsdot.wa.gov/rweather/Medium_Uniontown5.jpg,46.548,-117.095,320,239,137415d0464042ed16bd11e224abd309
177,,http://images.wsdot.wa.gov/rweather/Medium_Uniontown4.jpg,0,0,320,239,f532eb2c486e84904d4ffbd56ce1888b
178,,http://images.wsdot.wa.gov/rweather/Medium_Uniontown3.jpg,0,0,320,239,6cf1782831e562e4faf89e8e96e265d0
179,Uniontown,http://images.wsdot.wa.gov/rweather/Medium_Uniontown2.jpg,46.547,-117.095,320,239,f2a02dfa44dc6733b8470d1ff154cee4
180,,http://images.wsdot.wa.gov/rweather/Medium_Uniontown1.jpg,0,0,320,239,a2e7470ef4223f8cb56856e253715c50
181,,http://images.wsdot.wa.gov/rweather/Medium_Spangle3.jpg,0,0,320,261,cd3359284484266cc0bb71f9db8e4803
182,Spangle,http://images.wsdot.wa.gov/rweather/Medium_Spangle2.jpg,47.428,-117.389,320,261,b091550594f96b0a1168ab165c9269d7
183,,http://images.wsdot.wa.gov/rweather/Medium_Spangle1.jpg,0,0,320,261,f56ce7b489686e1dee45789b5e65fe91
184,,http://images.wsdot.wa.gov/rweather/Medium_Spangle.jpg,0,0,320,261,26753c112d9fea88a040493890275cde
185,Colfax US195,http://images.wsdot.wa.gov/spokane/sr195/colfax.jpg,46.885,-117.364,640,520,757e795b54598f6cf8e67c7df7457cc9
186,,http://images.wsdot.wa.gov/rweather/Medium_Uniontown7.jpg,0,0,320,239,bf107f70bcdb1d1a081ee22480cedc02
187,Colville Birch Road,http://images.wsdot.wa.gov/spokane/US395/colville_Birch.jpg,48.542,-117.905,352,280,e16b72b9c48a0394f3cf18743e95c180
188,Spangle7,http://images.wsdot.wa.gov/rweather/Medium_Spangle7.jpg,47.433256,-117.387104,320,261,15f953a9c5c4dfa8d42b2d8836b4e309
189,Spangle6,http://images.wsdot.wa.gov/rweather/Medium_Spangle6.jpg,47.428,-117.389,320,261,1936213c2065c17ec651c052458a28b0
190,Spangle3,http://images.wsdot.wa.gov/rweather/Medium_Spangle5.jpg,47.429,-117.389,320,261,7dd919b74832b0e457724dea354e1eb2
191,,http://images.wsdot.wa.gov/rweather/Medium_Spangle4.jpg,0,0,320,261,3c356f49e477a7540a302f663d783c66
192,Colville Canning Road,http://images.wsdot.wa.gov/spokane/US395/colville_Canning.jpg,48.555,-117.92,352,280,21bd76eaacb4d14c9bf6fdbdcca14a83
193,,http://images.wsdot.wa.gov/rweather/NineMile-5.jpg,0,0,320,253,0191f47116f0788e65d3e1e91e48db43
194,,http://images.wsdot.wa.gov/rweather/NineMile-6.jpg,0,0,320,253,86a653d210a513f23eac28418825d880
195,,http://images.wsdot.wa.gov/rweather/NineMile-7.jpg,0,0,320,253,2d94f8d5289bba93aa6cc400e5733c65
196,Hamilton and Trent,http://images.wsdot.wa.gov/spokane/i90/cctv026.jpg,47.662,-117.396,352,280,c2e658eee8f7a39566c08d1555dbc2d8
197,SR221 Sellards Rd,http://images.wsdot.wa.gov/rweather/medium_SellardsRoad.jpg,46.131,-119.601,320,250,9604fea4fba5c9a3bdb8513f678965be
198,Nine Mile Falls 4,http://images.wsdot.wa.gov/rweather/NineMile-8.jpg,47.779,-117.543,320,253,58a62266df9db2eaf03cd08e03a9711e
199,,http://images.wsdot.wa.gov/rweather/NineMile-1.jpg,47.7769813,-117.5442821,320,253,52c52f76c6663e4c7119d742838e465e
200,,http://images.wsdot.wa.gov/rweather/NineMile-2.jpg,0,0,320,253,0c208c362e6c90839e6614d7161a9e38
201,Nine Mile Falls 1,http://images.wsdot.wa.gov/rweather/NineMile-3.jpg,47.778,-117.543,320,253,b7dd3453648b4864306b468049824446
