cameraid,old_cameraid,name,url,latitude,longitude,last_width,last_height,mhash
2050,12351,US-12 Lolo Pas,http://birice.vaisala.com/photos/02D0637D_06BCBC1E_cam1.jpg,46.635,-114.58,640,480,1521
2051,12357,"Henrys Lake - US-20, M.P. 401",http://birice.vaisala.com/photos/033CAF03_066B9677_cam1.jpg,44.6183,-111.3355,640,480,1524
2052,12360,"Highland Summit - SH-21, M.P. 14.3",http://birice.vaisala.com/photos/03212210_06E1B86F_cam1.jpg,43.57002,-116.03218,640,480,1526
2113,12361,Wallace,http://birice.vaisala.com/photos/02D4670C_F91769C1_CAM1.jpg,47.474,-115.924,640,480,1527
2123,12367,Greer Grade HWY-11 nr Kamiah,http://birice.vaisala.com/photos/031F2EEE_06C97695_cam1.jpg,46.351,-116.213,640,480,1529
2124,12391,,http://maps.nittec.org/liveimages/CCTV_559.jpg,43.1520214701003,-79.0364354289229,704,480,1533
2125,12420,NY 33 (Kensington Expwy.) at Suffolk St.,http://maps.nittec.org/liveimages/CCTV_516.jpg,42.9333526,-78.8110847,320,240,1543
2126,12467,,http://maps.nittec.org/liveimages/CCTV_530.jpg,6.87635090035466,-75.05490625,704,480,1561
2127,13255,,http://www.roads.gov.nl.ca/cameras/sites/foxtrap/current.jpg,47.507572,-52.976738,352,240,1566
2130,13261,,http://www.roads.gov.nl.ca/cameras/sites/pynnsbrook/current.jpg,49.083333,-57.55,352,288,1569
2131,13262,Port Aux Basques,http://www.roads.gov.nl.ca/cameras/sites/portauxbasques/current.jpg,47.572115,-59.136429,352,240,1570
2132,13406,I-15 Park Lane - Farmington mp 324.44,http://commuterlink.utah.gov/1_devices/aux281.jpeg,40.98907094,-111.9059004,320,240,1676
2133,13422,SR-67 Legacy Parkway Glovers Lane - Farmington mp 10.5,http://commuterlink.utah.gov/1_devices/aux14771.jpeg,40.965173,-111.893022,320,240,1691
2136,13536,,http://commuterlink.utah.gov/1_devices/aux14281.jpeg,0,0,320,240,1795
2137,20248,,http://commuterlink.utah.gov/1_devices/aux14281.jpeg,0,0,320,240,1795
2138,13544,Harrison Blvd @ 24th St - Ogden,http://commuterlink.utah.gov/1_devices/aux433.jpeg,41.222457,-111.948174,320,240,1802
2139,13586,I-15 24th St NB - Ogden mp 342.2,http://commuterlink.utah.gov/1_devices/aux14778.jpeg,41.223574,-112.010899,320,240,1840
2140,13645,I-80 3200 W - Salt Lake City mp 116.44,http://commuterlink.utah.gov/1_devices/aux48.jpeg,40.76417582,-111.9661035,320,240,1886
2141,13655,I-80 Salt Lake County mp 136.45,http://commuterlink.utah.gov/1_devices/aux163.jpeg,40.74037521,-111.6670609,320,240,1896
2143,13665,I-80 East of Foothill Drive - Salt Lake County mp 127.9,http://commuterlink.utah.gov/1_devices/aux66.jpeg,40.71189025,-111.8022007,320,240,1905
